positive_type	Expected CSO	Predicted CSO	N
tp	Neuroendocrine cells	Bone and soft tissue	0
tp	Neuroendocrine cells	Breast	0
tp	Neuroendocrine cells	Cervix	0
tp	Neuroendocrine cells	Colon, rectum	2
tp	Neuroendocrine cells	Head and neck	2
tp	Neuroendocrine cells	Kidney	0
tp	Neuroendocrine cells	Liver, bile duct	0
tp	Neuroendocrine cells	Lung	5
tp	Neuroendocrine cells	Lymphoid lineage	0
tp	Neuroendocrine cells	Melanocytic lineage	0
tp	Neuroendocrine cells	Myeloid lineage	0
tp	Neuroendocrine cells	Neuroendocrine cells	60
tp	Neuroendocrine cells	Ovary	0
tp	Neuroendocrine cells	Pancreas, gallbladder	1
tp	Neuroendocrine cells	Plasma cell neoplasm	0
tp	Neuroendocrine cells	Prostate	0
tp	Neuroendocrine cells	Stomach, esophagus	0
tp	Neuroendocrine cells	Thyroid gland	0
tp	Neuroendocrine cells	Uterus	0
tp	Ovary	Anus	0
tp	Ovary	Bladder, urothelial	0
tp	Ovary	Bone and soft tissue	1
tp	Ovary	Breast	0
tp	Ovary	Cervix	0
tp	Ovary	Colon, rectum	1
tp	Ovary	Head and neck	0
tp	Ovary	Kidney	0
tp	Ovary	Liver, bile duct	0
tp	Ovary	Lung	0
tp	Ovary	Lymphoid lineage	0
tp	Ovary	Melanocytic lineage	0
tp	Ovary	Myeloid lineage	0
tp	Ovary	Neuroendocrine cells	0
tp	Ovary	Ovary	38
tp	Ovary	Pancreas, gallbladder	1
tp	Ovary	Plasma cell neoplasm	0
tp	Ovary	Prostate	0
tp	Ovary	Stomach, esophagus	0
tp	Ovary	Thyroid gland	0
tp	Ovary	Uterus	13
tp	Pancreas, gallbladder	Anus	0
tp	Pancreas, gallbladder	Bladder, urothelial	0
tp	Pancreas, gallbladder	Bone and soft tissue	0
tp	Pancreas, gallbladder	Breast	0
tp	Pancreas, gallbladder	Cervix	0
tp	Pancreas, gallbladder	Colon, rectum	2
tp	Pancreas, gallbladder	Head and neck	0
tp	Pancreas, gallbladder	Kidney	1
tp	Pancreas, gallbladder	Liver, bile duct	6
tp	Pancreas, gallbladder	Lung	2
tp	Pancreas, gallbladder	Lymphoid lineage	0
tp	Pancreas, gallbladder	Melanocytic lineage	0
tp	Pancreas, gallbladder	Myeloid lineage	0
tp	Pancreas, gallbladder	Neuroendocrine cells	2
tp	Pancreas, gallbladder	Ovary	0
tp	Pancreas, gallbladder	Pancreas, gallbladder	104
tp	Pancreas, gallbladder	Plasma cell neoplasm	0
tp	Pancreas, gallbladder	Prostate	0
tp	Pancreas, gallbladder	Stomach, esophagus	7
tp	Pancreas, gallbladder	Thyroid gland	0
tp	Pancreas, gallbladder	Uterus	0
tp	Plasma cell neoplasm	Anus	0
tp	Plasma cell neoplasm	Bladder, urothelial	0
tp	Plasma cell neoplasm	Bone and soft tissue	0
tp	Plasma cell neoplasm	Breast	0
tp	Plasma cell neoplasm	Cervix	0
tp	Plasma cell neoplasm	Colon, rectum	0
tp	Plasma cell neoplasm	Head and neck	0
tp	Plasma cell neoplasm	Kidney	0
tp	Plasma cell neoplasm	Liver, bile duct	0
tp	Plasma cell neoplasm	Lung	0
tp	Plasma cell neoplasm	Lymphoid lineage	0
tp	Plasma cell neoplasm	Melanocytic lineage	0
tp	Plasma cell neoplasm	Myeloid lineage	0
tp	Plasma cell neoplasm	Neuroendocrine cells	0
tp	Plasma cell neoplasm	Ovary	0
tp	Plasma cell neoplasm	Pancreas, gallbladder	0
tp	Plasma cell neoplasm	Plasma cell neoplasm	34
tp	Plasma cell neoplasm	Prostate	0
tp	Plasma cell neoplasm	Stomach, esophagus	0
tp	Plasma cell neoplasm	Thyroid gland	0
tp	Plasma cell neoplasm	Uterus	0
tp	Prostate	Anus	0
tp	Prostate	Bladder, urothelial	0
tp	Prostate	Bone and soft tissue	0
tp	Prostate	Breast	0
tp	Prostate	Cervix	0
tp	Prostate	Colon, rectum	2
tp	Prostate	Head and neck	1
tp	Prostate	Kidney	0
tp	Prostate	Liver, bile duct	0
tp	Prostate	Lung	1
tp	Prostate	Lymphoid lineage	0
tp	Prostate	Melanocytic lineage	0
tp	Prostate	Myeloid lineage	0
tp	Prostate	Neuroendocrine cells	0
tp	Prostate	Ovary	0
tp	Prostate	Pancreas, gallbladder	0
tp	Prostate	Plasma cell neoplasm	0
tp	Prostate	Prostate	43
tp	Prostate	Stomach, esophagus	0
tp	Prostate	Thyroid gland	0
tp	Prostate	Uterus	0
tp	Stomach, esophagus	Anus	0
tp	Stomach, esophagus	Bladder, urothelial	0
tp	Stomach, esophagus	Bone and soft tissue	0
tp	Stomach, esophagus	Breast	0
tp	Stomach, esophagus	Cervix	0
tp	Stomach, esophagus	Colon, rectum	3
tp	Stomach, esophagus	Head and neck	7
tp	Stomach, esophagus	Kidney	0
tp	Stomach, esophagus	Liver, bile duct	0
tp	Stomach, esophagus	Lung	3
