Sex	Lower	Upper	SEER_Draw	NET	Stage	Months	CSS	CSS_flag	OS	OS_flag	NCS
Male	40	44	Bladder	No	IV	96	0.182	FALSE	0.162	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	108	0.182	FALSE	0.162	FALSE	0.8878504672897196
Male	40	44	Bladder	No	IV	120	0.182	FALSE	0.142	FALSE	0.7802197802197802
Male	40	44	Bladder	No	IV	132	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	144	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	156	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	168	0.152	FALSE	0.118	FALSE	0.7763157894736842
Male	40	44	Bladder	No	IV	180	0.152	TRUE	0.118	TRUE	0.7763157894736842
Male	40	44	Bladder	No	IV	191	0.152	TRUE	0.118	TRUE	0.7763157894736842
Male	40	44	Bladder	No	NotStaged	12	0.903	FALSE	0.903	FALSE	1
Male	40	44	Bladder	No	NotStaged	24	0.903	FALSE	0.871	FALSE	0.964562569213732
Male	40	44	Bladder	No	NotStaged	36	0.903	FALSE	0.871	FALSE	0.964562569213732
Male	40	44	Bladder	No	NotStaged	48	0.903	FALSE	0.871	FALSE	0.964562569213732
Male	40	44	Bladder	No	NotStaged	60	0.87	FALSE	0.839	FALSE	0.964367816091954
Male	40	44	Bladder	No	NotStaged	72	0.87	FALSE	0.839	FALSE	0.964367816091954
Male	40	44	Bladder	No	NotStaged	84	0.87	FALSE	0.839	FALSE	0.964367816091954
Male	40	44	Bladder	No	NotStaged	96	0.824	FALSE	0.795	FALSE	0.964367816091954
Male	40	44	Bladder	No	NotStaged	108	0.777	FALSE	0.749	FALSE	0.9639639639639639
Male	40	44	Bladder	No	NotStaged	120	0.777	FALSE	0.696	FALSE	0.8957528957528956
Male	40	44	Bladder	No	NotStaged	132	0.777	FALSE	0.696	FALSE	0.8957528957528956
Male	40	44	Bladder	No	NotStaged	144	0.777	FALSE	0.696	FALSE	0.8957528957528956
Male	40	44	Bladder	No	NotStaged	156	0.777	FALSE	0.596	FALSE	0.767052767052767
Male	40	44	Bladder	No	NotStaged	168	0.777	FALSE	0.596	FALSE	0.767052767052767
Male	40	44	Bladder	No	NotStaged	180	0.777	TRUE	0.596	TRUE	0.767052767052767
Male	40	44	Bladder	No	NotStaged	191	0.777	TRUE	0.596	TRUE	0.767052767052767
Male	40	44	Bladder	NET	I	12	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	24	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	36	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	48	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	60	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	72	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	84	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	96	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	108	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	120	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	132	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	144	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	I	156	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	I	168	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	I	180	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	I	191	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	II	12	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	II	24	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	II	36	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	II	48	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	II	60	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	II	72	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	II	84	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	96	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	108	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	120	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	132	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	144	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	156	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	168	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	180	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	II	191	1	TRUE	1	TRUE	1
Male	40	44	Bladder	NET	III	12	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	24	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	36	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	48	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	60	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	72	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	84	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	96	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	108	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	120	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	132	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	144	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	156	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	168	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	180	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	III	191	0	TRUE	0	TRUE	NA
Male	40	44	Bladder	NET	IV	12	1	FALSE	1	FALSE	1
Male	40	44	Bladder	NET	IV	24	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	36	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	48	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	60	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	72	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	84	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	96	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	108	0	FALSE	0	FALSE	1
Male	40	44	Bladder	NET	IV	120	0	FALSE	0	FALSE	1
