Cancer	NET	Expected CSO	Sex	Predicted CSO	final_confusion	mode_found
Cervix	No	Cervix	Female	Ovary	0.003813882532418002	cfdna
Cervix	No	Cervix	Male	Pancreas, gallbladder	0.08702290076335877	cfdna
Cervix	No	Cervix	Female	Pancreas, gallbladder	0.010869565217391304	cfdna
Cervix	No	Cervix	Male	Plasma cell neoplasm	0.026717557251908396	cfdna
Cervix	No	Cervix	Female	Plasma cell neoplasm	0.003337147215865752	cfdna
Cervix	No	Cervix	Male	Prostate	0.03511450381679389	cfdna
Cervix	No	Cervix	Female	Prostate	0	cfdna
Cervix	No	Cervix	Male	Stomach, esophagus	0.07786259541984733	cfdna
Cervix	No	Cervix	Female	Stomach, esophagus	0.009725400457665906	cfdna
Cervix	No	Cervix	Male	Thyroid gland	7.633587786259543e-4	cfdna
Cervix	No	Cervix	Female	Thyroid gland	9.534706331045006e-5	cfdna
Cervix	No	Cervix	Male	Uterus	0	cfdna
Cervix	No	Cervix	Female	Uterus	0.005339435545385203	cfdna
Colon/Rectum	No	Colon, rectum	Male	Anus	2.981164460906095e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Anus	2.854770061247795e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Bladder, urothelial	2.1681196079317058e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Bladder, urothelial	2.0761964081802146e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Bone and soft tissue	2.303627083427437e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Bone and soft tissue	2.205958683691478e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Breast	0.008085279371245318	cfdna
Colon/Rectum	No	Colon, rectum	Female	Breast	0.007993356171493824	cfdna
Colon/Rectum	No	Colon, rectum	Male	Cervix	0	cfdna
Colon/Rectum	No	Colon, rectum	Female	Cervix	1.0380982040901073e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Colon, rectum	0.9728262342472564	cfdna
Colon/Rectum	No	Colon, rectum	Female	Colon, rectum	0.9727239696875326	cfdna
Colon/Rectum	No	Colon, rectum	Male	Head and neck	0.0014634807353539013	cfdna
Colon/Rectum	No	Colon, rectum	Female	Head and neck	0.0014014325755216446	cfdna
Colon/Rectum	No	Colon, rectum	Male	Kidney	2.439134558923169e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Kidney	2.3357209592027417e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Liver, bile duct	6.775373774786579e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Liver, bile duct	6.488113775563169e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Lung	0.0032657301594471314	cfdna
Colon/Rectum	No	Colon, rectum	Female	Lung	0.0031272708398214478	cfdna
Colon/Rectum	No	Colon, rectum	Male	Lymphoid lineage	0.007611003207010258	cfdna
Colon/Rectum	No	Colon, rectum	Female	Lymphoid lineage	0.0075391882072044026	cfdna
Colon/Rectum	No	Colon, rectum	Male	Melanocytic lineage	9.485523284701214e-5	cfdna
Colon/Rectum	No	Colon, rectum	Female	Melanocytic lineage	9.083359285788438e-5	cfdna
Colon/Rectum	No	Colon, rectum	Male	Myeloid lineage	1.3550747549573161e-5	cfdna
Colon/Rectum	No	Colon, rectum	Female	Myeloid lineage	1.2976227551126341e-5	cfdna
Colon/Rectum	No	Colon, rectum	Male	Neuroendocrine cells	9.350015809205481e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Neuroendocrine cells	8.953597010277175e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Ovary	0	cfdna
Colon/Rectum	No	Colon, rectum	Female	Ovary	5.190491020450536e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Pancreas, gallbladder	0.00154478522065134	cfdna
Colon/Rectum	No	Colon, rectum	Female	Pancreas, gallbladder	0.0014792899408284025	cfdna
Colon/Rectum	No	Colon, rectum	Male	Plasma cell neoplasm	4.742761642350606e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Plasma cell neoplasm	4.5416796428942197e-4	cfdna
Colon/Rectum	No	Colon, rectum	Male	Prostate	6.233343872803652e-4	cfdna
Colon/Rectum	No	Colon, rectum	Female	Prostate	0	cfdna
Colon/Rectum	No	Colon, rectum	Male	Stomach, esophagus	0.0013821762500564624	cfdna
Colon/Rectum	No	Colon, rectum	Female	Stomach, esophagus	0.0013235752102148867	cfdna
Colon/Rectum	No	Colon, rectum	Male	Thyroid gland	1.3550747549573161e-5	cfdna
Colon/Rectum	No	Colon, rectum	Female	Thyroid gland	1.2976227551126341e-5	cfdna
Colon/Rectum	No	Colon, rectum	Male	Uterus	0	cfdna
Colon/Rectum	No	Colon, rectum	Female	Uterus	7.266687428630751e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Anus	4.6649703138252756e-4	cfdna
Esophagus	No	Stomach, esophagus	Female	Anus	4.467186484730345e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Bladder, urothelial	3.392705682782019e-4	cfdna
Esophagus	No	Stomach, esophagus	Female	Bladder, urothelial	3.2488628979857054e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Bone and soft tissue	3.6047497879558945e-4	cfdna
Esophagus	No	Stomach, esophagus	Female	Bone and soft tissue	3.451916829109812e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Breast	0.0033927056827820186	cfdna
Esophagus	No	Stomach, esophagus	Female	Breast	0.0032488628979857053	cfdna
Esophagus	No	Stomach, esophagus	Male	Cervix	0	cfdna
Esophagus	No	Stomach, esophagus	Female	Cervix	1.6244314489928527e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Colon, rectum	0.03155216284987277	cfdna
Esophagus	No	Stomach, esophagus	Female	Colon, rectum	0.031392137751786876	cfdna
Esophagus	No	Stomach, esophagus	Male	Head and neck	0.06710489115069267	cfdna
Esophagus	No	Stomach, esophagus	Female	Head and neck	0.06700779727095517	cfdna
Esophagus	No	Stomach, esophagus	Male	Kidney	3.816793893129771e-4	cfdna
Esophagus	No	Stomach, esophagus	Female	Kidney	3.654970760233919e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Liver, bile duct	0.0010602205258693808	cfdna
Esophagus	No	Stomach, esophagus	Female	Liver, bile duct	0.001015269655620533	cfdna
Esophagus	No	Stomach, esophagus	Male	Lung	0.03288804071246819	cfdna
Esophagus	No	Stomach, esophagus	Female	Lung	0.03267137751786874	cfdna
Esophagus	No	Stomach, esophagus	Male	Lymphoid lineage	0.002650551314673452	cfdna
Esophagus	No	Stomach, esophagus	Female	Lymphoid lineage	0.0025381741390513323	cfdna
Esophagus	No	Stomach, esophagus	Male	Melanocytic lineage	1.4843087362171334e-4	cfdna
Esophagus	No	Stomach, esophagus	Female	Melanocytic lineage	1.421377517868746e-4	cfdna
Esophagus	No	Stomach, esophagus	Male	Myeloid lineage	2.120441051738762e-5	cfdna
Esophagus	No	Stomach, esophagus	Female	Myeloid lineage	2.030539311241066e-5	cfdna
Esophagus	No	Stomach, esophagus	Male	Neuroendocrine cells	0.0014631043256997456	cfdna
